stock_code,market,alias,alias_type,source,confidence,updated_at
00116,HK,00116,stock_code,stock_info_registry,1.0,2026-06-06T19:08:54.876723
00116,HK,周生生,company_name,stock_info_registry,0.95,2026-06-06T19:08:54.876725
00117,HK,00117,stock_code,stock_info_registry,1.0,2026-06-06T19:08:54.876736
00117,HK,天利控股集团,company_name,stock_info_registry,0.95,2026-06-06T19:08:54.876738
00118,HK,00118,stock_code,stock_info_registry,1.0,2026-06-06T19:08:54.876749
00118,HK,大同机械,company_name,stock_info_registry,0.95,2026-06-06T19:08:54.876751
00119,HK,00119,stock_code,stock_info_registry,1.0,2026-06-06T19:08:54.876762
00119,HK,保利置业集团,company_name,stock_info_registry,0.95,2026-06-06T19:08:54.876764
00120,HK,00120,stock_code,stock_info_registry,1.0,2026-06-06T19:08:54.876775
00120,HK,四海国际,company_name,stock_info_registry,0.95,2026-06-06T19:08:54.876776
00122,HK,00122,stock_code,stock_info_registry,1.0,2026-06-06T19:08:54.876787
00122,HK,鳄鱼恤,company_name,stock_info_registry,0.95,2026-06-06T19:08:54.876789
00123,HK,00123,stock_code,stock_info_registry,1.0,2026-06-06T19:08:54.876800
00123,HK,越秀地产,company_name,stock_info_registry,0.95,2026-06-06T19:08:54.876802
00124,HK,00124,stock_code,stock_info_registry,1.0,2026-06-06T19:08:54.876812
00124,HK,粤海置地,company_name,stock_info_registry,0.95,2026-06-06T19:08:54.876814
00125,HK,00125,stock_code,stock_info_registry,1.0,2026-06-06T19:08:54.876826
00125,HK,新兴光学,company_name,stock_info_registry,0.95,2026-06-06T19:08:54.876828
00126,HK,00126,stock_code,stock_info_registry,1.0,2026-06-06T19:08:54.876840
00126,HK,佳宁娜,company_name,stock_info_registry,0.95,2026-06-06T19:08:54.876842
00127,HK,00127,stock_code,stock_info_registry,1.0,2026-06-06T19:08:54.876854
00127,HK,华人置业,company_name,stock_info_registry,0.95,2026-06-06T19:08:54.876856
00128,HK,00128,stock_code,stock_info_registry,1.0,2026-06-06T19:08:54.876867
00128,HK,安宁控股,company_name,stock_info_registry,0.95,2026-06-06T19:08:54.876870
00129,HK,00129,stock_code,stock_info_registry,1.0,2026-06-06T19:08:54.876882
00129,HK,泛海集团,company_name,stock_info_registry,0.95,2026-06-06T19:08:54.876884
00130,HK,00130,stock_code,stock_info_registry,1.0,2026-06-06T19:08:54.876895
00130,HK,慕诗国际,company_name,stock_info_registry,0.95,2026-06-06T19:08:54.876897
00131,HK,00131,stock_code,stock_info_registry,1.0,2026-06-06T19:08:54.876908
00131,HK,卓能(集团),company_name,stock_info_registry,0.95,2026-06-06T19:08:54.876911
00132,HK,00132,stock_code,stock_info_registry,1.0,2026-06-06T19:08:54.876922
00132,HK,兴业控股,company_name,stock_info_registry,0.95,2026-06-06T19:08:54.876924
00133,HK,00133,stock_code,stock_info_registry,1.0,2026-06-06T19:08:54.876935
00133,HK,招商局中国基金,company_name,stock_info_registry,0.95,2026-06-06T19:08:54.876937
00135,HK,00135,stock_code,stock_info_registry,1.0,2026-06-06T19:08:54.876949
00135,HK,昆仑能源,company_name,stock_info_registry,0.95,2026-06-06T19:08:54.876951
00136,HK,00136,stock_code,stock_info_registry,1.0,2026-06-06T19:08:54.876962
00136,HK,中国儒意,company_name,stock_info_registry,0.95,2026-06-06T19:08:54.876964
00137,HK,00137,stock_code,stock_info_registry,1.0,2026-06-06T19:08:54.876975
00137,HK,金辉集团,company_name,stock_info_registry,0.95,2026-06-06T19:08:54.876977
00138,HK,00138,stock_code,stock_info_registry,1.0,2026-06-06T19:08:54.876988
00138,HK,中建富通,company_name,stock_info_registry,0.95,2026-06-06T19:08:54.876991
00139,HK,00139,stock_code,stock_info_registry,1.0,2026-06-06T19:08:54.877004
00139,HK,小鱼盈通,company_name,stock_info_registry,0.95,2026-06-06T19:08:54.877006
00142,HK,00142,stock_code,stock_info_registry,1.0,2026-06-06T19:08:54.877017
00142,HK,第一太平,company_name,stock_info_registry,0.95,2026-06-06T19:08:54.877019
00144,HK,00144,stock_code,stock_info_registry,1.0,2026-06-06T19:08:54.877030
00144,HK,招商局港口,company_name,stock_info_registry,0.95,2026-06-06T19:08:54.877032
00145,HK,00145,stock_code,stock_info_registry,1.0,2026-06-06T19:08:54.877043
00145,HK,信能低碳,company_name,stock_info_registry,0.95,2026-06-06T19:08:54.877045
00146,HK,00146,stock_code,stock_info_registry,1.0,2026-06-06T19:08:54.877056
00146,HK,太平地毡,company_name,stock_info_registry,0.95,2026-06-06T19:08:54.877058
00147,HK,00147,stock_code,stock_info_registry,1.0,2026-06-06T19:08:54.877068
00147,HK,国际商业结算,company_name,stock_info_registry,0.95,2026-06-06T19:08:54.877070
00148,HK,00148,stock_code,stock_info_registry,1.0,2026-06-06T19:08:54.877081
00148,HK,建滔集团,company_name,stock_info_registry,0.95,2026-06-06T19:08:54.877083
00149,HK,00149,stock_code,stock_info_registry,1.0,2026-06-06T19:08:54.877094
00149,HK,中国农产品交易,company_name,stock_info_registry,0.95,2026-06-06T19:08:54.877096
00150,HK,00150,stock_code,stock_info_registry,1.0,2026-06-06T19:08:54.877108
00150,HK,HYPEBEAST,company_name,stock_info_registry,0.95,2026-06-06T19:08:54.877110
00151,HK,00151,stock_code,stock_info_registry,1.0,2026-06-06T19:08:54.877121
00151,HK,中国旺旺,company_name,stock_info_registry,0.95,2026-06-06T19:08:54.877123
00152,HK,00152,stock_code,stock_info_registry,1.0,2026-06-06T19:08:54.877134
00152,HK,深圳国际,company_name,stock_info_registry,0.95,2026-06-06T19:08:54.877136
00154,HK,00154,stock_code,stock_info_registry,1.0,2026-06-06T19:08:54.877148
00154,HK,北京控股环境集团,company_name,stock_info_registry,0.95,2026-06-06T19:08:54.877150
00156,HK,00156,stock_code,stock_info_registry,1.0,2026-06-06T19:08:54.877162
00156,HK,力宝华润,company_name,stock_info_registry,0.95,2026-06-06T19:08:54.877164
00157,HK,00157,stock_code,stock_info_registry,1.0,2026-06-06T19:08:54.877175
00157,HK,自然美,company_name,stock_info_registry,0.95,2026-06-06T19:08:54.877177
00158,HK,00158,stock_code,stock_info_registry,1.0,2026-06-06T19:08:54.877188
00158,HK,万邦投资,company_name,stock_info_registry,0.95,2026-06-06T19:08:54.877190
00159,HK,00159,stock_code,stock_info_registry,1.0,2026-06-06T19:08:54.877203
00159,HK,布莱克万矿业,company_name,stock_info_registry,0.95,2026-06-06T19:08:54.877205
00160,HK,00160,stock_code,stock_info_registry,1.0,2026-06-06T19:08:54.877216
00160,HK,汉国置业,company_name,stock_info_registry,0.95,2026-06-06T19:08:54.877218
00162,HK,00162,stock_code,stock_info_registry,1.0,2026-06-06T19:08:54.877229
00162,HK,世纪金花,company_name,stock_info_registry,0.95,2026-06-06T19:08:54.877231
00163,HK,00163,stock_code,stock_info_registry,1.0,2026-06-06T19:08:54.877242
00163,HK,英皇国际,company_name,stock_info_registry,0.95,2026-06-06T19:08:54.877244
00164,HK,00164,stock_code,stock_info_registry,1.0,2026-06-06T19:08:54.877254
00164,HK,中国宝力科技,company_name,stock_info_registry,0.95,2026-06-06T19:08:54.877256
00165,HK,00165,stock_code,stock_info_registry,1.0,2026-06-06T19:08:54.877267
00165,HK,中国光大控股,company_name,stock_info_registry,0.95,2026-06-06T19:08:54.877269
00166,HK,00166,stock_code,stock_info_registry,1.0,2026-06-06T19:08:54.877280
00166,HK,新时代集团控股,company_name,stock_info_registry,0.95,2026-06-06T19:08:54.877282
00167,HK,00167,stock_code,stock_info_registry,1.0,2026-06-06T19:08:54.877293
00167,HK,万威国际,company_name,stock_info_registry,0.95,2026-06-06T19:08:54.877295
00168,HK,00168,stock_code,stock_info_registry,1.0,2026-06-06T19:08:54.877306
00168,HK,青岛啤酒股份,company_name,stock_info_registry,0.95,2026-06-06T19:08:54.877307
00169,HK,00169,stock_code,stock_info_registry,1.0,2026-06-06T19:08:54.877319
00169,HK,万达酒店发展,company_name,stock_info_registry,0.95,2026-06-06T19:08:54.877322
00171,HK,00171,stock_code,stock_info_registry,1.0,2026-06-06T19:08:54.877336
00171,HK,银建国际,company_name,stock_info_registry,0.95,2026-06-06T19:08:54.877338
00173,HK,00173,stock_code,stock_info_registry,1.0,2026-06-06T19:08:54.877350
00173,HK,嘉华国际,company_name,stock_info_registry,0.95,2026-06-06T19:08:54.877352
00174,HK,00174,stock_code,stock_info_registry,1.0,2026-06-06T19:08:54.877363
00174,HK,盛洋投资,company_name,stock_info_registry,0.95,2026-06-06T19:08:54.877365
00175,HK,00175,stock_code,stock_info_registry,1.0,2026-06-06T19:08:54.877377
00175,HK,吉利汽车,company_name,stock_info_registry,0.95,2026-06-06T19:08:54.877379
00176,HK,00176,stock_code,stock_info_registry,1.0,2026-06-06T19:08:54.877390
00176,HK,先机企业集团,company_name,stock_info_registry,0.95,2026-06-06T19:08:54.877392
00177,HK,00177,stock_code,stock_info_registry,1.0,2026-06-06T19:08:54.877405
00177,HK,江苏宁沪高速公路,company_name,stock_info_registry,0.95,2026-06-06T19:08:54.877407
00178,HK,00178,stock_code,stock_info_registry,1.0,2026-06-06T19:08:54.877419
00178,HK,莎莎国际,company_name,stock_info_registry,0.95,2026-06-06T19:08:54.877421
00179,HK,00179,stock_code,stock_info_registry,1.0,2026-06-06T19:08:54.877433
00179,HK,德昌电机控股,company_name,stock_info_registry,0.95,2026-06-06T19:08:54.877434
